64,1.60520002e-02,8.40999931e-03
128,3.17960008e-02,1.66400000e-02
200,4.95350025e-02,2.57590003e-02
256,1.45985998e-01,3.31159979e-02
512,1.27212997e-01,1.02090001e-01
600,1.62916000e-01,1.06035999e-01
800,2.13336002e-01,1.05144999e-01
1024,2.53882996e-01,1.34658999e-01
2000,4.97807998e-01,2.64784000e-01
3000,7.65604000e-01,3.99638999e-01
4096,1.02316099e+00,5.76248999e-01
6000,1.55576999e+00,7.99968000e-01
7000,1.78856600e+00,9.68882001e-01
10000,2.51186200e+00,1.36526599e+00
50000,1.25037680e+01,6.68303200e+00
100000,2.48247109e+01,1.34299000e+01
1000000,2.42696678e+02,1.26522440e+02
10000000,2.43469654e+03,1.26310524e+03
100000000,2.42147449e+04,1.26064136e+04
